"Date","Category","L","S","A","Real.estate","Private.businesses","Liabilities","C","Fixed.income","Mkt_RF"
1989-07-01,"Bottom50",23943,0.0140452041696242,1704710,825615,40285,986854,170029,28265,0.0788645767759999
1989-07-01,"Next40",359532,0.04062636550915,8849721,3425341,603924,1554872,1235401,360490,0.0788645767759999
1989-07-01,"Next9",811430,0.098391085132061,8246987,2023854,1015740,481148,1269414,1031992,0.0788645767759999
1989-07-01,"RemainingTop1",590198,0.19745416418259,2989038,479105,723594,84766,475336,559387,0.0788645767759999
1989-07-01,"TopPt1",305340,0.16941685623925,1802300,139254,586079,45133,168930,700540,0.0788645767759999
1989-10-01,"Bottom50",25380,0.0147085840061245,1725523,823713,40854,1014945,173920,29099,-0.01499205928
1989-10-01,"Next40",375403,0.0416333587671124,9016880,3445928,605956,1579024,1262838,368641,-0.01499205928
1989-10-01,"Next9",830446,0.0989884404260034,8389323,2070660,1025901,499087,1286315,1051246,-0.01499205928
1989-10-01,"RemainingTop1",602047,0.196933829184035,3057103,500960,730771,90667,477040,581306,-0.01499205928
1989-10-01,"TopPt1",318828,0.17172070797871,1856666,153056,593345,43820,177172,714532,-0.01499205928
1990-01-01,"Bottom50",24686,0.0139410563148422,1770741,850396,41428,1037002,175447,29858,-0.0506120268799999
1990-01-01,"Next40",370599,0.040648936911166,9117065,3447508,607039,1593883,1276776,376940,-0.0506120268799999
1990-01-01,"Next9",784016,0.093494679915451,8385675,2048825,1033473,521224,1294546,1078554,-0.0506120268799999
1990-01-01,"RemainingTop1",567223,0.186209744690923,3046151,503412,736264,96016,474627,593169,-0.0506120268799999
1990-01-01,"TopPt1",286986,0.156081351175698,1838695,162843,598192,42263,182734,722393,-0.0506120268799999
1990-04-01,"Bottom50",26295,0.0148506715417759,1770627,833235,41992,1058187,176522,30900,0.036445764032
1990-04-01,"Next40",388205,0.0419425752820094,9255631,3470775,608828,1614022,1285252,387036,0.036445764032
1990-04-01,"Next9",806964,0.0949767755535116,8496435,2085198,1044365,543479,1289644,1102925,0.036445764032
1990-04-01,"RemainingTop1",581304,0.187295987163563,3103665,521880,743389,100743,463852,628400,0.036445764032
1990-04-01,"TopPt1",303669,0.161416163463174,1881280,174074,606975,41181,177646,738032,0.036445764032
1990-07-01,"Bottom50",22828,0.0125198261659321,1823348,876455,42551,1079555,178766,31978,-0.17215046308
1990-07-01,"Next40",355926,0.0380979273201591,9342398,3501193,610686,1631612,1303260,398275,-0.17215046308
1990-07-01,"Next9",677721,0.0805742529903214,8411136,2071643,1056319,559351,1300821,1135138,-0.17215046308
1990-07-01,"RemainingTop1",487031,0.159731995299521,3049051,526606,750884,105207,462312,665782,-0.17215046308
1990-07-01,"TopPt1",217487,0.119649622957376,1817699,186829,617257,39630,184198,754663,-0.17215046308
1990-10-01,"Bottom50",26163,0.0139632663038199,1873702,905249,43126,1105162,182393,33655,0.0687405876799998
1990-10-01,"Next40",390954,0.0412934372782923,9467703,3462196,610833,1646883,1328522,425632,0.0687405876799998
1990-10-01,"Next9",750869,0.0877299530416818,8558867,2052962,1062866,572966,1314705,1196626,0.0687405876799998
1990-10-01,"RemainingTop1",536248,0.170709648624911,3141287,528840,755118,111812,461283,711633,0.0687405876799998
1990-10-01,"TopPt1",267979,0.140625549361599,1905621,197149,622288,37980,190132,804434,0.0687405876799998
1991-01-01,"Bottom50",30832,0.0162753807943961,1894395,901688,43739,1116236,184770,34034,0.152021888126
1991-01-01,"Next40",437744,0.0455894054081076,9601880,3437090,608072,1644862,1348854,420123,0.152021888126
1991-01-01,"Next9",861448,0.0988675737247723,8713150,2062344,1059504,581255,1333373,1163464,0.152021888126
1991-01-01,"RemainingTop1",611776,0.188553915344046,3244568,538794,753567,117427,464095,715974,0.152021888126
1991-01-01,"TopPt1",345614,0.173634629461327,1990467,207487,617531,35899,202997,779028,0.152021888126
1991-04-01,"Bottom50",31465,0.0164139839944746,1916963,914333,44338,1135382,182589,35120,-0.017367137488
1991-04-01,"Next40",445926,0.0459960024284968,9694886,3451999,606487,1660809,1337248,428902,-0.017367137488
1991-04-01,"Next9",852207,0.0976689942227694,8725461,2068079,1061089,601600,1310850,1174946,-0.017367137488
1991-04-01,"RemainingTop1",601945,0.184640721354761,3260088,549423,754583,121894,443289,759940,-0.017367137488
1991-04-01,"TopPt1",341274,0.172140214422444,1982535,218977,618490,34643,189657,786815,-0.017367137488
1991-07-01,"Bottom50",34239,0.0173517180425636,1973234,955655,44960,1138345,182513,35879,0.049624999488
