"Date","Category","L","S","A","Real.estate","Private.businesses","Liabilities","C","Fixed.income","Mkt_RF","dlnL","dlnL_lag","shock_loc_raw","shock_loc","shock_glo_raw","shock_glo"
1990-01-01,"Bottom50",24686,0.0139410563148422,1770741,850396,41428,1037002,175447,29858,-0.0506120268799999,-0.0277251809645023,0.0582854567242581,0.0418464861090022,0.846246669747259,-0.0496538630973182,-0.430091058182299
1990-04-01,"Bottom50",26295,0.0148506715417759,1770627,833235,41992,1058187,176522,30900,0.036445764032,0.0631425257195701,-0.0277251809645023,0.025080335288065,0.507190738987851,0.0406605911140087,0.35219327495762
1990-07-01,"Bottom50",22828,0.0125198261659321,1823348,876455,42551,1079555,178766,31978,-0.17215046308,-0.141390954366846,0.0631425257195701,0.081390227238915,1.64592574323911,-0.163288394021939,-1.41436886866466
1990-10-01,"Bottom50",26163,0.0139632663038199,1873702,905249,43126,1105162,182393,33655,0.0687405876799998,0.136358346238497,-0.141390954366846,0.0604586043064847,1.22263294506163,0.11314527102183,0.980039946674966
1991-01-01,"Bottom50",30832,0.0162753807943961,1894395,901688,43739,1116236,184770,34034,0.152021888126,0.164206912759052,0.136358346238497,-0.0238615819530746,-0.482544321883857,0.142780424544789,1.23673325799102
1991-04-01,"Bottom50",31465,0.0164139839944746,1916963,914333,44338,1135382,182589,35120,-0.017367137488,0.0203227053068868,0.164206912759052,0.0452445744346952,0.914965006613926,-0.000924650549985353,-0.00800912373550094
1991-07-01,"Bottom50",34239,0.0173517180425636,1973234,955655,44960,1138345,182513,35879,0.049624999488,0.0844895282606757,0.0203227053068868,0.028572008403243,0.577801607911675,0.0623166555642473,0.539773436791397
1991-10-01,"Bottom50",40436,0.0200572511605736,2016029,977474,45616,1160450,184213,36650,0.0756420646999998,0.166355132052235,0.0844895282606757,0.0759739205701047,1.53639369151865,0.144595004272265,1.25245075641842
1992-01-01,"Bottom50",40660,0.0200763850656581,2025265,981407,46268,1151671,177246,37355,-0.0217918814200001,0.00552433090838989,0.166355132052235,0.0359735676647103,0.727480719788317,-0.0157092068014729,-0.136069762854262
1992-04-01,"Bottom50",41655,0.0203886545984235,2043048,982454,46914,1154073,176410,37831,-0.00969193191000017,0.0241766012266726,0.00552433090838989,0.0434720215488293,0.879119297306157,0.001908539871625,0.0165313609408698
1992-07-01,"Bottom50",44226,0.020755312019553,2130828,1052111,47532,1175812,177004,38389,0.025156254284,0.0598914420083361,0.0241766012266726,0.0347453276254765,0.702642456423876,0.0377433590065852,0.326924839315743
